,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level
189,ICRB,0.624,9.0,4,5,4,1.0,3
190,STO,0.802,7.0,4,5,4,1.0,3
191,Rand,0.9255,14.0,4,5,4,1.0,3
192,CPF,0.6447,8.0,4,6,4,0.95,3
193,ICRB,0.689,14.0,4,6,4,0.95,3
194,STO,0.7204,7.0,4,6,4,0.95,3
195,Rand,0.9287,15.0,4,6,4,0.95,3
196,CPF,0.4691,11.0,4,7,4,0.85,3
197,ICRB,0.7279,16.0,4,7,4,0.85,3
198,STO,0.6465,6.0,4,7,4,0.85,3
199,Rand,0.8524,15.0,4,7,4,0.85,3
200,CPF,0.7854,12.0,4,8,4,0.8,3
201,ICRB,0.6044,14.0,4,8,4,0.8,3
202,STO,0.8097,9.0,4,8,4,0.8,3
203,Rand,0.8203,15.0,4,8,4,0.8,3
204,CPF,0.6886,10.0,4,9,4,0.75,3
205,ICRB,0.6388,15.0,4,9,4,0.75,3
206,STO,0.7839,7.0,4,9,4,0.75,3
207,Rand,0.9193,15.0,4,9,4,0.75,3
208,CPF,0.7597,10.0,4,10,4,0.9,1.5
209,ICRB,0.7595,18.0,4,10,4,0.9,1.5
210,STO,0.8769,9.0,4,10,4,0.9,1.5
211,Rand,0.8094,15.0,4,10,4,0.9,1.5
212,CPF,0.6459,9.0,4,11,4,0.9,5
213,ICRB,0.5346,13.0,4,11,4,0.9,5
214,STO,0.6563,8.0,4,11,4,0.9,5
215,Rand,0.8435,14.0,4,11,4,0.9,5
216,CPF,0.6474,10.0,4,12,4,0.9,7.5
217,ICRB,0.7178,10.0,4,12,4,0.9,7.5
218,STO,0.3264,6.0,4,12,4,0.9,7.5
219,Rand,0.7834,14.0,4,12,4,0.9,7.5
220,CPF,0.408,9.0,4,13,4,0.9,10.5
221,ICRB,0.7319,12.0,4,13,4,0.9,10.5
222,STO,0.4569,5.0,4,13,4,0.9,10.5
223,Rand,0.5681,11.0,4,13,4,0.9,10.5
