Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
ICRB,0.3614,0.2942,0.4038,0.4444,1,11,4,0.9,5,133.63498465217342,157.77362756231503
STO,0.3589,0.277,0.7712,0.1111,1,11,4,0.9,5,133.63498465217342,157.77362756231503
Rand,0.3706,0.2788,0.732,0.4444,1,11,4,0.9,5,133.63498465217342,157.77362756231503
CPF,0.3733,0.3077,0.3607,0.1,1,12,4,0.9,7.5,133.88212898491201,158.4193695974477
ICRB,0.3745,0.3107,0.3058,0.4,1,12,4,0.9,7.5,133.88212898491201,158.4193695974477
STO,0.3733,0.3077,0.3607,0.1,1,12,4,0.9,7.5,133.88212898491201,158.4193695974477
Rand,0.3688,0.2826,0.8785,0.5,1,12,4,0.9,7.5,133.88212898491201,158.4193695974477
CPF,0.3526,0.2693,0.4714,0.2,1,12,4,0.9,7.5,125.31453895948846,158.62542201280257
ICRB,0.3509,0.2695,0.4684,0.4,1,12,4,0.9,7.5,125.31453895948846,158.62542201280257
STO,0.3526,0.2693,0.4714,0.2,1,12,4,0.9,7.5,125.31453895948846,158.62542201280257
Rand,0.365,0.2565,0.6818,0.3,1,12,4,0.9,7.5,125.31453895948846,158.62542201280257
CPF,0.4102,0.3214,0.5086,0.3,1,12,4,0.9,7.5,113.15057582328144,141.60914052855713
ICRB,0.4066,0.3142,0.6119,0.3,1,12,4,0.9,7.5,113.15057582328144,141.60914052855713
STO,0.412,0.3214,0.5086,0.1,1,12,4,0.9,7.5,113.15057582328144,141.60914052855713
Rand,0.411,0.3136,0.6205,0.5,1,12,4,0.9,7.5,113.15057582328144,141.60914052855713
CPF,0.3595,0.2868,0.3057,0.1,1,13,4,0.9,10.5,122.74945932786505,153.48800573882536
ICRB,0.3541,0.2726,0.5305,0.2,1,13,4,0.9,10.5,122.74945932786505,153.48800573882536
STO,0.3771,0.2863,0.3133,0.1,1,13,4,0.9,10.5,122.74945932786505,153.48800573882536
Rand,0.3704,0.2772,0.4546,0.2,1,13,4,0.9,10.5,122.74945932786505,153.48800573882536
CPF,0.3757,0.3084,0.3211,0.2,1,13,4,0.9,10.5,121.58060539222303,146.88804552487358
ICRB,0.3757,0.3084,0.3211,0.2,1,13,4,0.9,10.5,121.58060539222303,146.88804552487358
STO,0.3797,0.3028,0.4161,0.1,1,13,4,0.9,10.5,121.58060539222303,146.88804552487358
Rand,0.3812,0.2845,0.7524,0.3,1,13,4,0.9,10.5,121.58060539222303,146.88804552487358
CPF,0.3975,0.3264,0.392,0.1,1,13,4,0.9,10.5,116.14420651838115,143.59412747049026
ICRB,0.3937,0.3179,0.5155,0.1,1,13,4,0.9,10.5,116.14420651838115,143.59412747049026
STO,0.4021,0.3266,0.389,0.1,1,13,4,0.9,10.5,116.14420651838115,143.59412747049026
Rand,0.4058,0.3066,0.6902,0.3,1,13,4,0.9,10.5,116.14420651838115,143.59412747049026
CPF,0.8114,0.4864,0.8494,0.3333,2,0,2,0.9,3,260.68032464833016,372.6831214192571
ICRB,0.8201,0.4974,0.7791,0.5,2,0,2,0.9,3,260.68032464833016,372.6831214192571
STO,0.8229,0.4738,0.9341,0.0556,2,0,2,0.9,3,260.68032464833016,372.6831214192571
Rand,0.8159,0.4745,0.9289,0.7778,2,0,2,0.9,3,260.68032464833016,372.6831214192571
CPF,0.7929,0.4977,0.8058,0.5,2,0,2,0.9,3,273.3260697534852,382.50461876486287
ICRB,0.7975,0.5098,0.7273,0.5,2,0,2,0.9,3,273.3260697534852,382.50461876486287
STO,0.8144,0.4972,0.8095,0.1111,2,0,2,0.9,3,273.3260697534852,382.50461876486287
Rand,0.7942,0.4883,0.8699,0.8333,2,0,2,0.9,3,273.3260697534852,382.50461876486287
CPF,0.8147,0.4943,0.7816,0.5,2,0,2,0.9,3,269.52013657512924,389.66377818904175
ICRB,0.8043,0.4985,0.7558,0.5556,2,0,2,0.9,3,269.52013657512924,389.66377818904175
STO,0.8052,0.4696,0.9405,0.1111,2,0,2,0.9,3,269.52013657512924,389.66377818904175
Rand,0.7861,0.4802,0.8705,0.7778,2,0,2,0.9,3,269.52013657512924,389.66377818904175
CPF,0.6481,0.4136,0.8484,0.4444,2,1,3,0.9,3,225.6102420573455,319.85759308896644
ICRB,0.6582,0.431,0.7179,0.5,2,1,3,0.9,3,225.6102420573455,319.85759308896644
STO,0.6684,0.4152,0.8362,0.0556,2,1,3,0.9,3,225.6102420573455,319.85759308896644
Rand,0.6511,0.3951,1.0,0.8333,2,1,3,0.9,3,225.6102420573455,319.85759308896644
CPF,0.6512,0.4049,0.8481,0.3889,2,1,3,0.9,3,223.6239702439793,318.77966000351
ICRB,0.6588,0.416,0.763,0.4444,2,1,3,0.9,3,223.6239702439793,318.77966000351
STO,0.6658,0.4061,0.839,0.1111,2,1,3,0.9,3,223.6239702439793,318.77966000351
Rand,0.6589,0.3954,0.925,0.8889,2,1,3,0.9,3,223.6239702439793,318.77966000351
CPF,0.6586,0.3957,0.83,0.5,2,1,3,0.9,3,223.8363796193231,316.636144180257
ICRB,0.6605,0.4055,0.7517,0.3889,2,1,3,0.9,3,223.8363796193231,316.636144180257
STO,0.6686,0.3827,0.9406,0.0556,2,1,3,0.9,3,223.8363796193231,316.636144180257
Rand,0.6689,0.3821,0.9455,0.7222,2,1,3,0.9,3,223.8363796193231,316.636144180257
CPF,0.5076,0.3131,0.7448,0.5,2,2,4,0.9,3,206.76650099966466,302.6981236151904
ICRB,0.4967,0.3062,0.8097,0.3333,2,2,4,0.9,3,206.76650099966466,302.6981236151904
STO,0.5099,0.2997,0.8745,0.1111,2,2,4,0.9,3,206.76650099966466,302.6981236151904
Rand,0.4993,0.2976,0.8951,0.7778,2,2,4,0.9,3,206.76650099966466,302.6981236151904
CPF,0.5247,0.3367,0.8039,0.4444,2,2,4,0.9,3,212.31003400995075,299.00928984586676
ICRB,0.5323,0.3512,0.6694,0.2778,2,2,4,0.9,3,212.31003400995075,299.00928984586676
STO,0.5266,0.3281,0.889,0.2222,2,2,4,0.9,3,212.31003400995075,299.00928984586676
Rand,0.5402,0.3303,0.8672,0.7222,2,2,4,0.9,3,212.31003400995075,299.00928984586676
CPF,0.5443,0.3321,0.7739,0.3889,2,2,4,0.9,3,181.10574329981077,267.47476577216503
ICRB,0.5306,0.3284,0.8059,0.4444,2,2,4,0.9,3,181.10574329981077,267.47476577216503
STO,0.5582,0.333,0.7661,0.0556,2,2,4,0.9,3,181.10574329981077,267.47476577216503
Rand,0.5494,0.3197,0.8846,0.5556,2,2,4,0.9,3,181.10574329981077,267.47476577216503
CPF,0.4872,0.3033,0.7736,0.5556,2,3,5,0.9,3,178.7750034748885,260.95399362782075
ICRB,0.4622,0.3025,0.7818,0.2778,2,3,5,0.9,3,178.7750034748885,260.95399362782075
STO,0.4991,0.3022,0.7846,0.1111,2,3,5,0.9,3,178.7750034748885,260.95399362782075
Rand,0.4767,0.2879,0.9317,0.7222,2,3,5,0.9,3,178.7750034748885,260.95399362782075
CPF,0.4808,0.3035,0.6897,0.5,2,3,5,0.9,3,167.73816605775696,252.91587940667262
ICRB,0.4813,0.3023,0.7006,0.5,2,3,5,0.9,3,167.73816605775696,252.91587940667262
STO,0.4957,0.2964,0.7536,0.1667,2,3,5,0.9,3,167.73816605775696,252.91587940667262
Rand,0.4823,0.2827,0.8855,0.5556,2,3,5,0.9,3,167.73816605775696,252.91587940667262
CPF,0.4329,0.2798,0.7356,0.5556,2,3,5,0.9,3,203.3009879239442,295.1909328158854
ICRB,0.4404,0.2861,0.6713,0.4444,2,3,5,0.9,3,203.3009879239442,295.1909328158854
STO,0.443,0.2722,0.819,0.1667,2,3,5,0.9,3,203.3009879239442,295.1909328158854
Rand,0.4458,0.2731,0.8089,0.6667,2,3,5,0.9,3,203.3009879239442,295.1909328158854
CPF,0.4148,0.2649,0.6494,0.3889,2,4,6,0.9,3,177.06712828736,247.99521314082494
ICRB,0.4065,0.2612,0.6939,0.4444,2,4,6,0.9,3,177.06712828736,247.99521314082494
STO,0.4283,0.2585,0.7272,0.1111,2,4,6,0.9,3,177.06712828736,247.99521314082494
Rand,0.4095,0.2518,0.8122,0.4444,2,4,6,0.9,3,177.06712828736,247.99521314082494
CPF,0.4211,0.27,0.7366,0.5,2,4,6,0.9,3,173.86011352663394,248.74802763567746
ICRB,0.4172,0.2676,0.7639,0.3889,2,4,6,0.9,3,173.86011352663394,248.74802763567746
STO,0.4228,0.2598,0.8564,0.1111,2,4,6,0.9,3,173.86011352663394,248.74802763567746
Rand,0.4234,0.2614,0.8369,0.5556,2,4,6,0.9,3,173.86011352663394,248.74802763567746
CPF,0.4403,0.2777,0.6979,0.6667,2,4,6,0.9,3,157.81420098369097,229.70015920231492
ICRB,0.4276,0.2657,0.8279,0.3333,2,4,6,0.9,3,157.81420098369097,229.70015920231492
STO,0.4461,0.2622,0.8682,0.0556,2,4,6,0.9,3,157.81420098369097,229.70015920231492
Rand,0.4357,0.2589,0.9076,0.4444,2,4,6,0.9,3,157.81420098369097,229.70015920231492
CPF,0.5433,0.3517,0.6589,0.4444,2,5,4,1.0,3,191.43166356981976,283.8705859137674
ICRB,0.5368,0.3492,0.6788,0.4444,2,5,4,1.0,3,191.43166356981976,283.8705859137674
STO,0.5389,0.3253,0.881,0.1111,2,5,4,1.0,3,191.43166356981976,283.8705859137674
Rand,0.5305,0.3127,1.0,0.5556,2,5,4,1.0,3,191.43166356981976,283.8705859137674
CPF,0.5376,0.3521,0.759,0.4444,2,5,4,1.0,3,197.9830205148735,282.7418872697417
ICRB,0.5391,0.3509,0.7694,0.3889,2,5,4,1.0,3,197.9830205148735,282.7418872697417
STO,0.5496,0.352,0.7594,0.1667,2,5,4,1.0,3,197.9830205148735,282.7418872697417
Rand,0.5327,0.3301,0.9644,0.4444,2,5,4,1.0,3,197.9830205148735,282.7418872697417
CPF,0.5723,0.353,0.7467,0.5556,2,5,4,1.0,3,186.1456640529872,272.42206329346794
ICRB,0.5584,0.3477,0.7903,0.3333,2,5,4,1.0,3,186.1456640529872,272.42206329346794
STO,0.585,0.3473,0.794,0.0556,2,5,4,1.0,3,186.1456640529872,272.42206329346794
Rand,0.5651,0.335,0.902,0.5556,2,5,4,1.0,3,186.1456640529872,272.42206329346794
CPF,0.5744,0.3434,0.8297,0.4444,2,6,4,0.95,3,172.17473368731717,256.3635721154883
ICRB,0.5619,0.3524,0.756,0.2222,2,6,4,0.95,3,172.17473368731717,256.3635721154883
STO,0.5873,0.3513,0.7649,0.0556,2,6,4,0.95,3,172.17473368731717,256.3635721154883
Rand,0.5653,0.3321,0.9276,0.5556,2,6,4,0.95,3,172.17473368731717,256.3635721154883
CPF,0.5318,0.3362,0.8138,0.4444,2,6,4,0.95,3,197.88324596254603,280.51205375583015
ICRB,0.5515,0.3437,0.744,0.5556,2,6,4,0.95,3,197.88324596254603,280.51205375583015
STO,0.5528,0.3259,0.9154,0.0,2,6,4,0.95,3,197.88324596254603,280.51205375583015
