Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Sched Time,gid,Case,Scheduling Algorithm
CPF,0.4371,0.3142,0.3847,0.5,0.005784511566162109,0.0034766197204589844,1,1,HEFT
ICRB,0.4476,0.2972,0.7073,0.25,0.00554347038269043,0.0034766197204589844,1,1,HEFT
STO,0.4365,0.2987,0.6774,0.125,0.0053784847259521484,0.0034766197204589844,1,1,HEFT
Rand,0.4481,0.2987,0.6774,0.625,0.005618095397949219,0.0034766197204589844,1,1,HEFT
CPF,0.4371,0.3142,0.3847,0.5,0.0063076019287109375,0.003627777099609375,1,1,CPOP
ICRB,0.4476,0.2972,0.7073,0.25,0.006136894226074219,0.003627777099609375,1,1,CPOP
STO,0.4365,0.2987,0.6774,0.125,0.005997896194458008,0.003627777099609375,1,1,CPOP
Rand,0.4481,0.2987,0.6774,0.5,0.008601903915405273,0.003627777099609375,1,1,CPOP
CPF,0.4517,0.3316,0.4179,0.375,0.006368160247802734,0.0035948753356933594,1,1,HEFT
ICRB,0.4662,0.3225,0.5821,0.25,0.00630950927734375,0.0035948753356933594,1,1,HEFT
STO,0.4519,0.3115,0.7958,0.25,0.006541013717651367,0.0035948753356933594,1,1,HEFT
Rand,0.4685,0.3281,0.48,0.625,0.0061070919036865234,0.0035948753356933594,1,1,HEFT
CPF,0.4517,0.3316,0.4341,0.375,0.009209871292114258,0.006214618682861328,1,1,CPOP
ICRB,0.4691,0.3246,0.5659,0.25,0.00878000259399414,0.006214618682861328,1,1,CPOP
STO,0.4546,0.3133,0.7879,0.125,0.012053966522216797,0.006214618682861328,1,1,CPOP
Rand,0.4644,0.3133,0.7879,0.25,0.00882411003112793,0.006214618682861328,1,1,CPOP
CPF,0.4946,0.3539,0.533,0.375,0.006087303161621094,0.0035512447357177734,1,1,HEFT
ICRB,0.4877,0.3388,0.7669,0.375,0.0058324337005615234,0.0035512447357177734,1,1,HEFT
STO,0.4961,0.3572,0.4845,0.0,0.0063457489013671875,0.0035512447357177734,1,1,HEFT
Rand,0.4681,0.325,1.0,0.625,0.006110191345214844,0.0035512447357177734,1,1,HEFT
CPF,0.4946,0.3539,0.533,0.375,0.006354331970214844,0.0037004947662353516,1,1,CPOP
ICRB,0.4877,0.3388,0.7669,0.375,0.006189584732055664,0.0037004947662353516,1,1,CPOP
STO,0.4961,0.3572,0.4845,0.0,0.008812189102172852,0.0037004947662353516,1,1,CPOP
Rand,0.4801,0.3539,0.533,0.875,0.006287813186645508,0.0037004947662353516,1,1,CPOP
CPF,0.472,0.3597,0.3747,0.375,0.006017923355102539,0.0034494400024414062,1,1,HEFT
ICRB,0.4548,0.3384,0.8189,0.5,0.005644559860229492,0.0034494400024414062,1,1,HEFT
STO,0.4782,0.339,0.8063,0.25,0.00596308708190918,0.0034494400024414062,1,1,HEFT
Rand,0.4607,0.3304,1.0,0.875,0.005968332290649414,0.0034494400024414062,1,1,HEFT
CPF,0.472,0.3597,0.3747,0.375,0.006432533264160156,0.0037293434143066406,1,1,CPOP
ICRB,0.4548,0.3384,0.8189,0.5,0.006631612777709961,0.0037293434143066406,1,1,CPOP
STO,0.4782,0.339,0.8063,0.25,0.008460760116577148,0.0037293434143066406,1,1,CPOP
Rand,0.4753,0.3682,0.2121,0.875,0.006360054016113281,0.0037293434143066406,1,1,CPOP
CPF,0.4917,0.3861,0.4845,0.375,0.0057888031005859375,0.003348112106323242,1,1,HEFT
ICRB,0.4997,0.3715,0.7671,0.25,0.005467891693115234,0.003348112106323242,1,1,HEFT
STO,0.5051,0.3835,0.5333,0.0,0.005204439163208008,0.003348112106323242,1,1,HEFT
