,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
116,CPF,0.6213,8.0,1,0,2,0.9,3,156.70933456910151,188.77992050371708
117,CPF,0.5624,7.0,1,0,2,0.9,3,174.52124953084837,217.73662139856077
118,CPF,0.5948,7.0,1,0,2,0.9,3,128.46813643503063,165.37455096279967
119,CPF,0.6264,7.0,1,0,2,0.9,3,127.27585874305983,149.5338744830355
120,CPF,0.6576,11.0,1,0,2,0.9,3,133.80600342200847,161.4129558791734
121,CPF,0.682,4.0,1,0,2,0.9,3,163.71531481303572,195.86103875369557
122,CPF,0.7953,4.0,1,0,2,0.9,3,173.59332127836169,202.0233676202076
123,CPF,0.4944,7.0,1,0,2,0.9,3,114.52135833424413,148.31778171229405
124,CPF,0.5254,5.0,1,0,2,0.9,3,153.31426666999238,189.4635591699712
125,CPF,0.5746,6.0,1,0,2,0.9,3,121.20577970070781,155.11170911512218
126,CPF,0.7806,8.0,1,0,2,0.9,3,161.03573209235822,214.22822554547298
127,CPF,0.5907,7.0,1,0,2,0.9,3,159.7401087993824,203.86063968986448
128,CPF,0.5388,7.0,1,0,2,0.9,3,159.4274731791906,202.38239568807188
129,CPF,0.5454,5.0,1,0,2,0.9,3,118.02161145034606,145.35947449051122
130,CPF,0.6872,7.0,1,0,2,0.9,3,141.7701665952631,179.8744590211462
131,CPF,0.3992,6.0,1,0,2,0.9,3,129.78868312977744,160.18537533996187
132,CPF,0.4517,7.0,1,0,2,0.9,3,169.76164597674676,201.0535458248118
133,CPF,0.6321,8.0,1,0,2,0.9,3,138.99289340655145,168.59039422380482
134,CPF,0.641,6.0,1,0,2,0.9,3,172.4111280499919,207.18325048290245
135,CPF,0.5777,6.0,1,0,2,0.9,3,109.80502452580528,143.18381970234225
136,CPF,0.4405,7.0,1,0,2,0.9,3,133.3948212987557,170.27878391141792
137,CPF,0.6392,7.0,1,0,2,0.9,3,145.19464518531353,174.759277498624
138,CPF,0.6709,6.0,1,0,2,0.9,3,150.25857697917232,185.79029495468285
139,CPF,0.4977,6.0,1,0,2,0.9,3,143.61249205900793,181.6302076968035
140,CPF,0.4678,7.0,1,0,2,0.9,3,127.7533151689577,168.37437878746988
141,CPF,0.4208,8.0,1,0,2,0.9,3,141.58448940079015,169.07553469229106
142,CPF,0.5729,4.0,1,0,2,0.9,3,148.79530078499204,181.00708445195212
143,CPF,0.7532,5.0,1,0,2,0.9,3,147.30591307264189,185.31518790178237
144,CPF,0.3974,8.0,1,0,2,0.9,3,155.13037678279917,195.63286782206623
145,CPF,0.6223,8.0,1,0,2,0.9,3,140.55647456331656,179.3153388648859
146,CPF,0.6838,6.0,1,0,2,0.9,3,158.79666653556686,195.2347530531133
147,CPF,0.5217,10.0,1,0,2,0.9,3,158.18453819771744,194.47369034504817
148,CPF,0.652,7.0,1,0,2,0.9,3,167.3622248201124,199.66247369160345
149,CPF,0.6155,8.0,1,0,2,0.9,3,146.3252228619088,173.56996423966297
150,CPF,0.6061,7.0,1,0,2,0.9,3,140.85492854456098,178.59164995807882
151,CPF,0.3994,7.0,1,0,2,0.9,3,154.4311647528103,188.73151523315317
152,CPF,0.6775,9.0,1,0,2,0.9,3,155.15300082397934,191.6192261387798
153,CPF,0.5842,7.0,1,0,2,0.9,3,155.48165409899238,196.94222934782812
154,CPF,0.7885,7.0,1,0,2,0.9,3,163.26369268563266,196.8665038572568
155,CPF,0.5278,6.0,1,0,2,0.9,3,150.79395472541592,193.50743655880262
156,CPF,0.5454,7.0,1,0,2,0.9,3,136.862523967025,175.8667892383662
157,CPF,0.807,5.0,1,0,2,0.9,3,135.27923783239487,171.3742246679493
158,CPF,0.6748,5.0,1,0,2,0.9,3,116.1603379296082,141.83735159905999
159,CPF,0.7239,7.0,1,0,2,0.9,3,152.27109664386015,186.4009235505465
160,CPF,0.4931,7.0,1,0,2,0.9,3,133.5583666307711,161.02490490266112
161,CPF,0.4005,9.0,1,0,2,0.9,3,151.08931687656582,185.39801016164563
162,CPF,0.7459,6.0,1,0,2,0.9,3,153.84945178824586,197.1891389008709
163,CPF,0.4877,7.0,1,0,2,0.9,3,146.0996880429501,178.26023021270873
164,CPF,0.76,8.0,1,0,2,0.9,3,165.44749000496898,206.49212852749153
165,CPF,0.5362,6.0,1,0,2,0.9,3,148.3280104117869,183.57702269097686
166,CPF,0.7005,6.0,1,0,2,0.9,3,148.3677477044139,177.14176272584044
167,CPF,0.5867,4.0,1,0,2,0.9,3,166.66631851872262,198.69250673775363
168,CPF,0.4858,6.0,1,0,2,0.9,3,150.63288661683174,178.51822213762185
169,CPF,0.3309,9.0,1,0,2,0.9,3,116.42157310709254,145.50580102103214
170,CPF,0.5651,8.0,1,0,2,0.9,3,141.5070957888832,178.6648115746291
171,CPF,0.6668,7.0,1,0,2,0.9,3,146.79421686450294,184.47993339264363
172,CPF,0.564,7.0,1,0,2,0.9,3,129.6354494813942,161.31555670712518
173,CPF,0.4688,10.0,1,0,2,0.9,3,122.45415450373562,146.47512584897592
174,CPF,0.3603,5.0,1,0,2,0.9,3,111.40270117131138,136.86157844103158
175,CPF,0.7504,8.0,1,0,2,0.9,3,153.71983668768763,196.68484591895
176,CPF,0.5317,8.0,1,0,2,0.9,3,121.2545672376881,149.0943196648663
177,CPF,0.6619,6.0,1,0,2,0.9,3,121.88133579291913,151.83898133459024
178,CPF,0.7006,8.0,1,0,2,0.9,3,167.69516836962669,200.61537736630092
179,CPF,0.4841,7.0,1,0,2,0.9,3,132.7604216429282,169.1413075825102
180,CPF,0.7516,9.0,1,0,2,0.9,3,167.6198146067195,201.52783858513573
181,CPF,0.5792,7.0,1,0,2,0.9,3,128.51248843778404,164.78705937536853
182,CPF,0.7906,8.0,1,0,2,0.9,3,142.7920625817336,179.5637706527383
183,CPF,0.4022,8.0,1,0,2,0.9,3,127.61550105090639,161.13012610457915
184,CPF,0.7488,6.0,1,0,2,0.9,3,130.53467020581743,164.037772669532
185,CPF,0.527,4.0,1,0,2,0.9,3,158.6646129497808,195.08819445317351
186,CPF,0.3562,6.0,1,0,2,0.9,3,149.08740454723517,180.8563704114699
187,CPF,0.5305,7.0,1,0,2,0.9,3,150.21672996885977,183.52757981056718
188,CPF,0.6594,9.0,1,0,2,0.9,3,129.4101506085154,170.4638198049138
189,CPF,0.5135,5.0,1,0,2,0.9,3,150.1261692806268,187.89723793749872
190,CPF,0.576,9.0,1,0,2,0.9,3,145.2582347574534,181.2956024528485
191,CPF,0.6655,6.0,1,0,2,0.9,3,142.20045682676107,166.20209942990456
192,CPF,0.543,5.0,1,0,2,0.9,3,139.3064725511109,174.3164493513296
193,CPF,0.6636,9.0,1,0,2,0.9,3,138.5434388380147,169.6343421309533
194,CPF,0.5741,8.0,1,0,2,0.9,3,151.07851128957793,186.52655439759775
195,CPF,0.6021,7.0,1,0,2,0.9,3,143.8229366945196,169.27752012021543
196,CPF,0.688,3.0,1,0,2,0.9,3,148.88693985581997,188.471799269439
197,CPF,0.3895,9.0,1,0,2,0.9,3,125.89314672457712,152.88096293000893
198,CPF,0.3886,8.0,1,0,2,0.9,3,138.5226245965224,176.50954180820003
199,CPF,0.7114,6.0,1,0,2,0.9,3,150.23387999086697,194.86236821493418
200,ICRB,0.6215,8.0,1,0,2,0.9,3,144.00731052755538,188.66668201497953
201,ICRB,0.3831,9.0,1,0,2,0.9,3,150.77317333386694,190.68002165454405
202,ICRB,0.4138,10.0,1,0,2,0.9,3,126.5168249118786,160.50463811333128
203,ICRB,0.5742,9.0,1,0,2,0.9,3,147.595100106159,185.0235731291032
204,ICRB,0.9162,5.0,1,0,2,0.9,3,135.28770664042685,163.06414125990335
205,ICRB,0.7282,8.0,1,0,2,0.9,3,144.19951426787418,182.45002183346804
206,ICRB,0.4095,11.0,1,0,2,0.9,3,143.99632127439995,172.38122096032035
207,ICRB,0.355,8.0,1,0,2,0.9,3,148.44357520349888,181.31346677553427
208,ICRB,0.3914,6.0,1,0,2,0.9,3,150.76467904789575,180.8686524784709
209,ICRB,0.6953,10.0,1,0,2,0.9,3,169.95793948441423,200.88132916588316
210,ICRB,0.5912,6.0,1,0,2,0.9,3,129.1235017439259,153.83271364289263
211,ICRB,0.3822,6.0,1,0,2,0.9,3,154.9588137262345,184.07375551793677
212,ICRB,0.4326,8.0,1,0,2,0.9,3,132.6395375663204,173.3606860039948
213,ICRB,0.7314,8.0,1,0,2,0.9,3,164.90861471138956,209.60733269607212
214,ICRB,0.5686,10.0,1,0,2,0.9,3,166.51064363791963,191.8895228685048
215,ICRB,0.4186,8.0,1,0,2,0.9,3,135.4059219964289,171.26498451019134
216,ICRB,0.4474,11.0,1,0,2,0.9,3,134.29978051068647,163.14664013655226
217,ICRB,0.5089,7.0,1,0,2,0.9,3,148.19473230739916,185.47990343475797
218,ICRB,0.4496,6.0,1,0,2,0.9,3,130.39258224945672,158.9438185510836
219,ICRB,0.5742,6.0,1,0,2,0.9,3,156.3640324873923,202.21346886905104
220,ICRB,0.4602,7.0,1,0,2,0.9,3,146.7959900118333,189.58553166061157
221,ICRB,0.5892,10.0,1,0,2,0.9,3,140.40560668294796,179.56857542424072
222,ICRB,0.3185,11.0,1,0,2,0.9,3,157.76549286364803,193.06457158647635
223,ICRB,0.5432,9.0,1,0,2,0.9,3,128.69445036811896,158.57173298963164
224,ICRB,0.7617,7.0,1,0,2,0.9,3,142.325479542288,177.02945338758497
225,ICRB,0.7308,8.0,1,0,2,0.9,3,138.80833798921321,170.44560280119896
226,ICRB,0.4281,8.0,1,0,2,0.9,3,139.77156591997976,174.38338474850485
227,ICRB,0.6182,7.0,1,0,2,0.9,3,173.8587633587929,212.75092749142308
228,ICRB,0.5188,8.0,1,0,2,0.9,3,161.7631282129069,199.86230388650452
229,ICRB,0.5487,7.0,1,0,2,0.9,3,141.0144510736899,179.54179504706497
230,ICRB,0.4815,10.0,1,0,2,0.9,3,149.69805763895423,179.12440365688292
231,ICRB,0.3983,9.0,1,0,2,0.9,3,128.16823669822313,156.33770715687797
232,ICRB,0.5518,7.0,1,0,2,0.9,3,126.54730411794169,162.00922100375783
233,ICRB,0.3743,11.0,1,0,2,0.9,3,137.57149915626394,166.20106074441833
234,ICRB,0.3727,9.0,1,0,2,0.9,3,151.92998094764062,186.2178681947389
235,ICRB,0.5271,9.0,1,0,2,0.9,3,146.66541509991032,188.01033793958374
236,ICRB,0.4737,10.0,1,0,2,0.9,3,168.97219806171205,213.57916557572676
237,ICRB,0.5982,7.0,1,0,2,0.9,3,163.94050164023446,215.23783563199626
238,ICRB,0.4046,9.0,1,0,2,0.9,3,129.02511890637038,160.73715054964194
239,ICRB,0.3318,7.0,1,0,2,0.9,3,161.59789211312503,195.28210307906548
240,ICRB,0.2343,6.0,1,0,2,0.9,3,129.63068371349874,161.40838873518942
241,ICRB,0.3865,9.0,1,0,2,0.9,3,157.95928616934307,187.66992567868374
242,ICRB,0.6332,9.0,1,0,2,0.9,3,144.05379089125634,174.81438246931293
243,ICRB,0.2809,10.0,1,0,2,0.9,3,141.9098998400507,175.0981150213968
244,ICRB,0.5063,10.0,1,0,2,0.9,3,131.2094347410288,166.9926082647975
245,ICRB,0.1779,7.0,1,0,2,0.9,3,139.73758170021242,178.86424467672958
246,ICRB,0.4251,8.0,1,0,2,0.9,3,135.496724976174,172.8508340873239
247,ICRB,0.3126,9.0,1,0,2,0.9,3,148.03634144293372,169.49435394275122
248,ICRB,0.48,9.0,1,0,2,0.9,3,167.29922027698092,197.40265651197439
249,ICRB,0.6593,7.0,1,0,2,0.9,3,146.9292226295859,189.37025718142698
250,ICRB,0.5593,8.0,1,0,2,0.9,3,128.62861552481812,165.19438154452916
251,ICRB,0.4447,9.0,1,0,2,0.9,3,188.42298877024993,225.31433944311212
252,ICRB,0.4235,4.0,1,0,2,0.9,3,113.09212902693874,135.14915857235877
253,ICRB,0.7595,9.0,1,0,2,0.9,3,151.06628036362446,189.1889830190724
254,ICRB,0.4767,6.0,1,0,2,0.9,3,117.34432301254385,151.5351950703931
255,ICRB,0.448,10.0,1,0,2,0.9,3,155.50355642693316,192.88852573072487
256,ICRB,0.508,10.0,1,0,2,0.9,3,161.25385382814844,199.2730215359537
257,ICRB,0.5381,10.0,1,0,2,0.9,3,164.1198992780228,202.8086495194612
258,ICRB,0.5453,6.0,1,0,2,0.9,3,147.88691499255094,189.80585674492121
259,ICRB,0.4648,8.0,1,0,2,0.9,3,154.62373425717854,194.68739931051695
260,ICRB,0.3967,5.0,1,0,2,0.9,3,134.59379761455904,178.5995903976234
261,ICRB,0.662,8.0,1,0,2,0.9,3,126.30556001319181,151.1106881915237
262,ICRB,0.4776,10.0,1,0,2,0.9,3,140.95604828716245,187.26376198192287
263,ICRB,0.5188,11.0,1,0,2,0.9,3,127.29406912530798,159.23105449753925
264,ICRB,0.5785,7.0,1,0,2,0.9,3,144.51284685883056,184.86932249756455
265,ICRB,0.5493,7.0,1,0,2,0.9,3,161.66201342430975,201.85149996414236
